Music Planning Questionnaire - Veronica Gomez,Event Date: December 6, 2025,,
Section,Field,Your Response,Notes
Do Not Play List,Songs/Artists to Avoid,,"List songs or artists you don't want played (one per line)"
Special Dances,First Dance - Song Title,,
Special Dances,First Dance - Artist,,
Special Dances,Father-Daughter Dance - Song Title,,
Special Dances,Father-Daughter Dance - Artist,,
Special Dances,Mother-Son Dance - Song Title,,
Special Dances,Mother-Son Dance - Artist,,
Special Dances,Anniversary Dance - Song Title,,
Special Dances,Anniversary Dance - Artist,,
Special Dances,Other Special Dance - Description,,
Special Dances,Other Special Dance - Song Title,,
Special Dances,Other Special Dance - Artist,,
Playlist Links,Ceremony Playlist Link,,"Paste Spotify/Apple Music link"
Playlist Links,Cocktail Hour Playlist Link,,"Paste Spotify/Apple Music link"
Playlist Links,Reception/Dance Playlist Link,,"Paste Spotify/Apple Music link"
Ceremony Music,Ceremony Music Type,,"Traditional / Modern / Mix / Other"
Ceremony Music,Processional Song (Bridal Party),,
Ceremony Music,Bride's Entrance Song,,
Ceremony Music,Recessional Song (Exit),,
Ceremony Music,Unity Ceremony Song,,
Ceremony Music,Other Ceremony Moment - Description,,
Ceremony Music,Other Ceremony Moment - Song,,
MC Introduction,Introduction Preference,,"Standard / Custom / None"
MC Introduction,Custom Introduction Text,,"If custom selected, write it here"
Additional Notes,Special Requests or Notes,,"Any other important information"

