venue_name,phone,contact_email,address,city,state,zip_code
The Peabody Hotel (Memphis),901-529-4000,,149 Union Ave.,Memphis,TN,38103
Memphis Botanic Garden,901-636-4100,,750 Cherry Rd,Memphis,TN,38117
Dixon Gallery and Gardens,901-761-5250,,4339 Park Ave,Memphis,TN,38117
Woodruff-Fontaine House Museum,901-272-4281,,680 Adams Ave,Memphis,TN,38105
The Atrium at Overton Square,901-325-5959,,2015 Madison Ave #101,Memphis,TN,38104
The Central Station Hotel,901-522-4044,,545 S Main St,Memphis,TN,38103
Avon Acres (Event Center),901-452-4789,,5049 Austin Peay Hwy,Memphis,TN,38134
Memphis Brooks Museum of Art,901-544-6200,,1934 Poplar Ave,Memphis,TN,38104
Graceland's Chapel in the Woods,901-332-2800,,3600 Elvis Presley Blvd,Memphis,TN,38116
Elmwood Cemetery,901-774-3212,,824 S Dudley St,Memphis,TN,38106
Hi-Tone Café (event space),901-249-7838,,2715 Summer Ave,Memphis,TN,38112
Pink Palace Museum & Planetarium,901-320-6327,,3050 Central Ave,Memphis,TN,38111
River Inn of Harbor Town,901-881-8184,,347 S Front St,Memphis,TN,38103
James Lee House,901-274-2458,,239 Adams Ave,Memphis,TN,38103
FedEx Event Center at Shelby Farms,901-222-3476,,4155 Ridgeway Rd,Memphis,TN,38125
Orion Hill,901-654-4809,,12055 West Donelson Rd,Arlington,TN,38002
Acre (restaurant/event space),901-504-1030,,1636 Madison Ave,Memphis,TN,38104
409 South Main,901-584-0409,,409 S Main St,Memphis,TN,38103
Balinese Ballroom,901-327-5549,,117 N 2nd St,Memphis,TN,38103
Old Dominick Distillery,901-866-2383,,3840 Summer Ave,Memphis,TN,38122
Grand Carousel Pavilion (Children's Museum of Memphis),901-458-2678,,2525 Central Ave,Memphis,TN,38104
The Cadre Building,901-257-6077,,528 Monroe Ave,Memphis,TN,38103
The Columns at One Commerce Square,901-543-1155,,45 S Main St,Memphis,TN,38103
Propcellar,901-745-7990,,579 S Main St,Memphis,TN,38103
Jack Robinson Gallery,901-217-6777,,556 S Main St,Memphis,TN,38103
Loflin Yard,901-800-4774,,468 Tennessee St,Memphis,TN,38126
Wiseacre Brewing Company,901-729-7110,,1576 Madison Ave,Memphis,TN,38104
Annesdale Mansion,901-324-8884,,648 S Mendenhall Rd,Memphis,TN,38117
National Ornamental Metal Museum,901-774-6380,,374 Metal Museum Dr,Memphis,TN,38106
Mallard's Croft at Tate Farms,662-393-5398,,799 E Tate Rd,Horn Lake,MS,38637
The Gin at Nesbit,662-808-3939,,189 Tom Oyer Rd,Nesbit,MS,38651
Hedge Farms & Events,662-386-1768,,3225 Merlin Trce,Southaven,MS,38672
Arrive Hotel (Memphis Downtown),901-249-1830,,161 Union Ave,Memphis,TN,38103
Hyatt Centric Beale Street Memphis,901-649-1234,,169 Union Ave,Memphis,TN,38103
The Memphian Hotel,901-537-1414,,106 McLean Blvd,Memphis,TN,38104
The Kent (Memphis),901-217-4000,,150 N 2nd St,Memphis,TN,38103
Maple Grove Farm (Collierville),901-854-0291,,10641 S Houston Levee Rd,Collierville,TN,38017
Memphis National Golf Club,901-853-9187,,116 Willow Grove Cir,Collierville,TN,38017
The Quonset (Collierville),901-850-0531,,109 N Center St,Collierville,TN,38017
D'LUXE Venue (Cordova),901-754-3097,,11224 Trinity Rd,Cordova,TN,38016
Hilton Memphis,901-362-9300,,939 Ridge Lake Blvd,Memphis,TN,38120
Southern Grace Weddings & Events,901-768-6354,,8545 Collierville Arlington Rd,Arlington,TN,38002
Green River Place,662-266-1798,,770 Green River Lane,Lake Cormorant,MS,38641
The Grange at Wilson Gardens,870-512-3008,,29421 Grange Rd,Wilson,AR,72395
Village of Wilson,870-654-9850,,23728 Village Loop Rd,Wilson,AR,72395
211 Main Hall & Gardens,662-234-6211,,211 E Main St,Como,MS,38619
Blackberry Pines,662-252-9890,,13865 Goodman Rd,Holly Springs,MS,38635
Shelby Farms Park – Woodland Discovery Trail (event space),,,6903 Great View Dr,Memphis,TN,38134
Cedar Hall,901-758-5000,,777 Butler Ave,Memphis,TN,38133
Carahills Estate,901-799-8880,,8403 Como Park Blvd,Cordova,TN,38018
The Buckland Manor,901-873-2882,,30 Snowden Ln,Eads,TN,38028
Colonial Country Club,901-382-0533,,300 Colonial Trce,Memphis,TN,38125
Banquet Halls of the Mid-South,901-382-1000,,2758 Bartlett Blvd,Memphis,TN,38134
Tuscan Ridge,901-610-6944,info.tuscanridge@gmail.com,1701 Reid Hooker Rd,Eads,TN,38028
Itta Bena (Alta Adams),901-726-1007,,143 Beale St,Memphis,TN,38103
Tin Roof Memphis,901-526-6390,,152 Beale St,Memphis,TN,38103
Rock 'n' Soul Museum,901-205-2533,,191 Beale St,Memphis,TN,38103
Playhouse on the Square,901-754-2600,,66 S Cooper St,Memphis,TN,38104
Landers Center,662-449-5000,,4560 Venture Dr,Southaven,MS,38672
Halloran Centre,901-527-7529,,838 N 2nd St,Memphis,TN,38105
DoubleTree by Hilton Memphis Downtown,901-527-6464,,185 Union Ave,Memphis,TN,38103
Memphis Zoo (Administration/Event Center),901-636-4703,,2000 Prentiss Pl,Memphis,TN,38112
Stax Museum of American Soul Music,901-942-1250,,926 E McLemore Ave,Memphis,TN,38106
Chimes on Beale (Occasions Events),901-545-0500,,203 Beale St,Memphis,TN,38103
Sheraton Memphis Downtown Hotel,901-528-4000,,250 N Main St,Memphis,TN,38103
Windyke Country Club,901-385-8831,,3020 Brown Rd,Bartlett,TN,38134
Historic Ann's 1893,901-382-8457,,6778 Stage Rd,Bartlett,TN,38134
The Magnolia Room,901-382-4000,,7742 Stage Rd,Bartlett,TN,38134
River Hall at the River Inn,901-268-8500,,347 S Front St,Memphis,TN,38103
Crowne Plaza Memphis Downtown,901-260-0600,,300 N 2nd St,Memphis,TN,38105
Grandstar Event Center,662-892-6790,,700 Dr J C Taylor Blvd,Horn Lake,MS,38637
TPC Southwind (Golf Club),901-531-5610,,4500 Club Grounds Dr,Memphis,TN,38125
Memphis Marriott East,901-767-5610,,5795 Poplar Ave,Memphis,TN,38119
